# Agências do Banco Regional de Fomento S.A. (BRF)
# Fonte: Banco Central do Brasil — API Informes_Agencias (ODbL)
# URL: https://olinda.bcb.gov.br/olinda/servico/Informes_Agencias/versao/v1
# Atualizado em: 05/04/2026 | Total: 300 agências
# CNPJ BRF: 07.237.373/0001-20 | Código COMPE: 004
#
codigo,nome,municipio,uf,cep,endereco,bairro,ddd,telefone
356,Governador Valadares,Governador Valadares,MG,35010-250,Avenida Minas Gerais,Centro,33,32136600
360,Guanhaes,Guanhaes,MG,39740-000,Rua Padre Saint Clair Ferreira Filho,Acropole,33,988234203
359,Inhapim,Inhapim,MG,35330-000,Rua Padre Vigilato,Centro,33,999626489
335,Jaiba,Jaiba,MG,39508-000,Av. Coronel Moacir J Silva,Centro,38,988281108
140,Janauba,Janauba,MG,39440-000,Praca Romulo Sales Azevedo,Centro,38,38212997
25,Januaria,Januaria,MG,39480-000,Rua  Mata Machado,Centro,38,36211233
358,Mantena,Mantena,MG,35290-000,Rua Wilson Melado,Centro,27,999809950
109,Montalvania,Montalvania,MG,39495-000,Av. Madame Curie,Centro,38,36141423
85,Monte Azul,Monte Azul,MG,39500-000,Rua Dos Fernandes,Centro,38,38111116
34,Montes Claros,Montes Claros,MG,39400-023,Rua Coronel Altino De Freitas,Centro,38,32297500
332,Nanuque,Nanuque,MG,39860-000,Rua Sao Joao Del Rey,Centro,38,988320243
77,Pirapora,Pirapora,MG,39270-000,Praca Melo Viana,Centro,38,37413977
42,Porteirinha,Porteirinha,MG,39517-000,"Praca Cel Odilon Coelho, 217",Centro,38,38311243
60,Salinas,Salinas,MG,39560-000,"Rua Barao Do Rio Branco, 32",Centro,38,38411179
260,Sao Francisco,Sao Francisco,MG,39300-000,Av Brasiliano Braz,Centro,38,36312059
199,Teófilo Otoni,Teofilo Otoni,MG,39803-013,"Av. Bernarda Laender, 183",São Diogo,33,35235323
2,Alagoa Grande,Alagoa Grande,PB,58388-000,"Praca Cel Elisio Sobreira, S/N",Centro,83,32737750
293,Bayeux,Bayeux,PB,58306-000,Av. Liberdade,Centro,83,32533835
327,Cabedelo,Cabedelo,PB,58100-683,R João Vitaliano,Ponta De Matos,83,32487300
91,Cajazeiras,Cajazeiras,PB,58900-000,Rua Padre Rolim,Centro,83,35322450
9,Campina Grande,Campina Grande,PB,58400-105,Rua 7 De Setembro,Centro,83,33155800
12,Catole Do Rocha,Catole Do Rocha,PB,58884-000,Av. Deputado Americo Maia,Centro,83,34411012
20,Guarabira,Guarabira,PB,58200-000,Rua Dom Pedro Ii,Centro,83,35021600
23,Itaporanga,Itaporanga,PB,58780-000,Av. Irineu Rodrigues Da Silva,Centro,83,34512421
28,Joao Pessoa Centro,Joao Pessoa,PB,58010-450,Rua Gama E Melo,Varadouro,83,32182900
185,Joao Pessoa Epitácio Pessoa,Joao Pessoa,PB,58040-000,Av. Presidente Epitacio Pessoa,Bairro Da Torre,83,32443558
225,João Pessoa Cidade Universitária,Joao Pessoa,PB,58052-200,Rua Walfredo Macedo Brandao,Jardim Cidade Universitaria,83,32359674
